code,abund.correlation,species.trend,trend.at.highest.predictions,trend.at.best.nfj.data,filename,n.data,zeroes.missed.messy,run,nlabel,common,label
AUTCEL,0.9825,0.0278367068169771,0.0289009728981859,0.0275087613504245,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/AUTCEL-full-run-all-sources-V2.html,5209,432,all sources,(N = 5209),NA,AUTCEL: NA
BATPHI,0.8895,NA,0.00674182144000923,0.00579049445528768,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/BATPHI-full-run-all-sources-V2.html,78596,2284,all sources,(N = 78596),Pipevine Swallowtail,BATPHI: Pipevine Swallowtail
BOLOBEL,0.792,-0.0293506752640453,-0.0276321150570595,-0.029549145564088,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/BOLOBEL-full-run-all-sources-V2.html,74906,619,all sources,(N = 74906),Meadow Fritillary,BOLOBEL: Meadow Fritillary
BOLOCHA,NA,NA,-8.07292019066404,-8.26385907465409,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/BOLOCHA-full-run-all-sources-V2.html,7368,723,all sources,(N = 7368),Arctic Fritillary,BOLOCHA: Arctic Fritillary
BOLOEPI,0.9719,0.00484045568410217,0.00583906178139237,0.00513994160115548,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/BOLOEPI-full-run-all-sources-V2.html,5169,737,all sources,(N = 5169),Pacific Fritillary,BOLOEPI: Pacific Fritillary
BOLOSEL,0.9027,-0.0249385250287893,-0.0240188504536292,-0.0266900218334679,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/BOLOSEL-full-run-all-sources-V2.html,76631,678,all sources,(N = 76631),Silver-bordered Fritillary,BOLOSEL: Silver-bordered Fritillary
BREEXI,0.7367,-0.0437129351403352,-0.0417053258931048,-0.0434599175202909,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/BREEXI-full-run-all-sources-V2.html,11376,5122,all sources,(N = 11376),???,BREEXI: ???
BREISO,0.9878,-0.0121598374411944,-0.0114474420206179,-0.0137762665576912,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/BREISO-full-run-all-sources-V2.html,2729,5016,all sources,(N = 2729),Western Pygmy-Blue,BREISO: Western Pygmy-Blue
CALBOR,0.3388,0.0324290111628285,0.0330789171790733,0.0316965596152222,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/CALBOR-full-run-all-sources-V2.html,33133,8693,all sources,(N = 33133),NA,CALBOR: NA
CALLAUG,0.3818,-0.0049352039698117,-0.00412394688314342,-0.00469383219995934,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/CALLAUG-full-run-all-sources-V2.html,84795,681,all sources,(N = 84795),Brown Elfin,CALLAUG: Brown Elfin
CALLDUM,0.9574,0.0181370898739857,0.0198230995218642,0.0160979374961208,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/CALLDUM-full-run-all-sources-V2.html,13028,718,all sources,(N = 13028),Western Green Hairstreak,CALLDUM: Western Green Hairstreak
CALLERY,0.9011,0.00571884549730874,0.00618781526107304,0.00536902101760864,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/CALLERY-full-run-all-sources-V2.html,19222,695,all sources,(N = 19222),Western Pine Elfin,CALLERY: Western Pine Elfin
CALLGRY,0.9773,-0.00561654155115619,-0.00424450198032922,-0.00521647737578204,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/CALLGRY-full-run-all-sources-V2.html,90625,682,all sources,(N = 90625),Juniper Hairstreak,CALLGRY: Juniper Hairstreak
CALLHEN,0.6092,0.0388324407173701,0.0392717886937728,0.0387835993065479,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/CALLHEN-full-run-all-sources-V2.html,74851,719,all sources,(N = 74851),Henry's Elfin,CALLHEN: Henry's Elfin
CALLIRU,0.8632,-0.063238438236938,-0.0622261975030484,-0.0624810632808723,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/CALLIRU-full-run-all-sources-V2.html,70027,715,all sources,(N = 70027),Frosted Elfin,CALLIRU: Frosted Elfin
CALLMOS,0.988,0.0671458672834418,0.068014844233204,0.06629604114968,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/CALLMOS-full-run-all-sources-V2.html,13529,708,all sources,(N = 13529),Moss' Elfin,CALLMOS: Moss' Elfin
CALLPOL,0.972,0.115131054731928,0.115739154058713,0.114824120500435,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/CALLPOL-full-run-all-sources-V2.html,41368,702,all sources,(N = 41368),NA,CALLPOL: NA
CALLSHE,0.7682,-0.0564046650718749,-0.0556482667438001,-0.0560372095286186,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/CALLSHE-full-run-all-sources-V2.html,14347,697,all sources,(N = 14347),Sheridan's Green Hairstreak,CALLSHE: Sheridan's Green Hairstreak
CALLSPI,0.7065,0.00141077571082923,0.00206221977077969,9.4033889068541e-4,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/CALLSPI-full-run-all-sources-V2.html,15025,711,all sources,(N = 15025),NA,CALLSPI: NA
CALNEM,0.9596,0.0479168089032386,0.0488322455677117,0.0477740931319608,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/CALNEM-full-run-all-sources-V2.html,2771,8671,all sources,(N = 2771),NA,CALNEM: NA
CALYCEC,0.8617,0.00518901646448015,0.00630231291484185,0.00590085358265055,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/CALYCEC-full-run-all-sources-V2.html,34899,611,all sources,(N = 34899),Red-banded Hairstreak,CALYCEC: Red-banded Hairstreak
CARTPAL,0.3308,-0.0313141965680659,-0.0297706311427319,-0.033469713001326,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/CARTPAL-full-run-all-sources-V2.html,62032,3,all sources,(N = 62032),Arctic Skipper,CARTPAL: Arctic Skipper
CELLAD,0.8229,0.00238682921706172,0.00433090540883807,0.00277363343795109,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/CELLAD-full-run-all-sources-V2.html,86384,4205,all sources,(N = 86384),Spring Azure,CELLAD: Spring Azure
CELNEG,0.7221,-0.0203827090648978,-0.019640545210269,-0.0204278665016094,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/CELNEG-full-run-all-sources-V2.html,4456,5344,all sources,(N = 4456),NA,CELNEG: NA
CEROET,0.9607,-0.023329514427251,-0.0224939735297456,-0.0233362995483135,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/CEROET-full-run-all-sources-V2.html,9078,1114,all sources,(N = 9078),Small Wood-Nymph,CEROET: Small Wood-Nymph
CERPEG,0.9383,-0.0503560206149899,-0.0498371496965282,-0.0500231713477012,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/CERPEG-full-run-all-sources-V2.html,87555,694,all sources,(N = 87555),Common Wood-Nymph,CERPEG: Common Wood-Nymph
CERSTH,0.2734,-0.0207851777728922,-0.0201212932060133,-0.021573694799588,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/CERSTH-full-run-all-sources-V2.html,9312,1186,all sources,(N = 9312),Great Basin Wood-Nymph,CERSTH: Great Basin Wood-Nymph
CHLOHAR,0.5101,-0.0802049410283981,-0.0795265668388083,-0.0830868839712553,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/CHLOHAR-full-run-all-sources-V2.html,56062,371,all sources,(N = 56062),Harris' Checkerspot,CHLOHAR: Harris' Checkerspot
CHLOHOF,0.9955,0.0172050528275702,0.0181235464268763,0.0154390074361942,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/CHLOHOF-full-run-all-sources-V2.html,1697,389,all sources,(N = 1697),Hoffmann's Checkerspot,CHLOHOF: Hoffmann's Checkerspot
CHLOLAC,0.9107,0.0148521636115403,0.0158335901638855,0.0135450371724922,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/CHLOLAC-full-run-all-sources-V2.html,1390,390,all sources,(N = 1390),Bordered Patch,CHLOLAC: Bordered Patch
CHLOLEA,0.9997,-0.0377161941802015,-0.0367804824132917,-0.0377876917015851,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/CHLOLEA-full-run-all-sources-V2.html,391,387,all sources,(N = 391),Leanira Checkerspot,CHLOLEA: Leanira Checkerspot
CHLONYC,0.8826,0.0177595671335925,0.0184193575982385,0.0171139063182805,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/CHLONYC-full-run-all-sources-V2.html,78525,340,all sources,(N = 78525),Silvery Checkerspot,CHLONYC: Silvery Checkerspot
CHLOPAL,0.9939,-0.013721008487339,-0.0130361826207714,-0.0132583872673484,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/CHLOPAL-full-run-all-sources-V2.html,13525,342,all sources,(N = 13525),Northern Checkerspot,CHLOPAL: Northern Checkerspot
COETUL,0.9106,-0.033661212779597,-0.0328472856354303,-0.0335246184725214,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/COETUL-full-run-all-sources-V2.html,69204,891,all sources,(N = 69204),Common Ringlet,COETUL: Common Ringlet
COLALE,0.9235,-8.17755591971884e-5,6.1220173935616e-4,-4.0667436639466e-4,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/COLALE-full-run-all-sources-V2.html,9332,20691,all sources,(N = 9332),Queen Alexandra's Sulphur,COLALE: Queen Alexandra's Sulphur
COLCES,0.9238,-0.00504796127041545,-0.00416200307955039,-0.00446030480845672,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/COLCES-full-run-all-sources-V2.html,48641,20654,all sources,(N = 48641),Southern Dogface,COLCES: Southern Dogface
COLEU1,0.9982,0.00496971684205637,0.00548927208804517,0.00533506695771438,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/COLEU1-full-run-all-sources-V2.html,5954,20881,all sources,(N = 5954),California Dogface,COLEU1: California Dogface
COLEU2,0.8224,-0.0332876366560795,-0.0326985618925422,-0.0329556139196082,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/COLEU2-full-run-all-sources-V2.html,71828,19781,all sources,(N = 71828),Orange Sulphur,COLEU2: Orange Sulphur
COLINT,0.9695,-0.0236431327107029,-0.0226612263427732,-0.0246186312710209,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/COLINT-full-run-all-sources-V2.html,25014,20736,all sources,(N = 25014),Pink-edged Sulphur,COLINT: Pink-edged Sulphur
COLOCC,0.9731,0.00311883402339641,0.00413758101629602,0.00283274145475444,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/COLOCC-full-run-all-sources-V2.html,7023,20834,all sources,(N = 7023),NA,COLOCC: NA
COLPHI,0.9303,-0.0200126681820258,-0.0195522671955652,-0.0197544847596942,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/COLPHI-full-run-all-sources-V2.html,63057,19807,all sources,(N = 63057),Clouded Sulphur,COLPHI: Clouded Sulphur
COPAUR,0.9645,-0.00350681416343071,-0.00282078846729128,-0.00328563276785998,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/COPAUR-full-run-all-sources-V2.html,6933,2172,all sources,(N = 6933),Orange Skipperling,COPAUR: Orange Skipperling
CYLGEM,0.7938,0.0494937920245157,0.0499835652581812,0.0487934615998518,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/CYLGEM-full-run-all-sources-V2.html,15114,902,all sources,(N = 15114),Gemmed Satyr,CYLGEM: Gemmed Satyr
DANGIL,0.9003,-0.00455476569409055,-0.0038883772760876,-0.00399934088136351,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/DANGIL-full-run-all-sources-V2.html,9948,1,all sources,(N = 9948),Queen,DANGIL: Queen
DANPLE,0.801,-0.00570377484386824,-0.00502098846238397,-0.00660925849174132,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/DANPLE-full-run-all-sources-V2.html,91497,4,all sources,(N = 91497),Monarch,DANPLE: Monarch
DYMDYM,0.5572,-0.00306402909842026,-0.00222667143198318,-0.0030513587812929,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/DYMDYM-full-run-all-sources-V2.html,2834,205,all sources,(N = 2834),NA,DYMDYM: NA
ENOANT,0.8606,0.00596600017954353,0.00681621510777841,0.00620256769834933,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/ENOANT-full-run-all-sources-V2.html,72555,832,all sources,(N = 72555),Northern Pearly-eye,ENOANT: Northern Pearly-eye
ENOCRE,0.9082,-0.0012034785977536,-6.5190808283913e-4,-0.00167440762127003,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/ENOCRE-full-run-all-sources-V2.html,5672,1012,all sources,(N = 5672),NA,ENOCRE: NA
ENOPOR,0.1976,-0.00907242182308943,-0.00769065511892064,-0.00861148497798597,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/ENOPOR-full-run-all-sources-V2.html,18353,1002,all sources,(N = 18353),Southern Pearly-eye,ENOPOR: Southern Pearly-eye
EPACLA,0.8803,0.00511340967774898,0.00568028898756889,0.00556913944733401,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/EPACLA-full-run-all-sources-V2.html,86622,295,all sources,(N = 86622),Silver-spotted Skipper,EPACLA: Silver-spotted Skipper
EREEPI,0.9059,-0.0380930363482958,-0.0372229343966222,-0.0393192913049102,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/EREEPI-full-run-all-sources-V2.html,7798,946,all sources,(N = 7798),Common Alpine,EREEPI: Common Alpine
ERYBAP,0.78,0.0392946298132244,0.0399682571990024,0.0396064479065885,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/ERYBAP-full-run-all-sources-V2.html,73788,1921,all sources,(N = 73788),Wild Indigo Duskywing,ERYBAP: Wild Indigo Duskywing
ERYBRI,0.823,-0.0230033474280719,-0.0224073239321103,-0.0235640858263562,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/ERYBRI-full-run-all-sources-V2.html,85089,2111,all sources,(N = 85089),Sleepy Duskywing,ERYBRI: Sleepy Duskywing
ERYFUN,0.3484,-0.0144830751673555,-0.013697648214158,-0.013722961465646,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/ERYFUN-full-run-all-sources-V2.html,76172,1983,all sources,(N = 76172),Funereal Duskywing,ERYFUN: Funereal Duskywing
ERYHOR,0.9078,0.0222182291000922,0.0229337072163021,0.0221861456080102,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/ERYHOR-full-run-all-sources-V2.html,73652,1843,all sources,(N = 73652),Horace's Duskywing,ERYHOR: Horace's Duskywing
ERYICE,0.8273,-0.07125479511057,-0.0695112674408875,-0.0718373846898944,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/ERYICE-full-run-all-sources-V2.html,80261,2086,all sources,(N = 80261),Dreamy Duskywing,ERYICE: Dreamy Duskywing
ERYJUV,0.8563,-0.0254851281971847,-0.0250522838991272,-0.0253155964595233,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/ERYJUV-full-run-all-sources-V2.html,74513,2034,all sources,(N = 74513),Juvenal's Duskywing,ERYJUV: Juvenal's Duskywing
ERYMAR,0.7948,-0.0584853713710219,-0.0578647690859759,-0.0582907039877004,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/ERYMAR-full-run-all-sources-V2.html,77376,2132,all sources,(N = 77376),NA,ERYMAR: NA
ERYPAC,0.9366,0.0194893921281223,0.0199034100757933,0.0194280094359054,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/ERYPAC-full-run-all-sources-V2.html,13955,2102,all sources,(N = 13955),Pacuvius Duskywing,ERYPAC: Pacuvius Duskywing
ERYPER,0.8428,-0.0121417036355587,-0.0117948574289846,-0.0118749817629113,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/ERYPER-full-run-all-sources-V2.html,74846,2107,all sources,(N = 74846),Persius Duskywing,ERYPER: Persius Duskywing
ERYPRO,0.964,-0.0172171045382868,-0.0167897428819417,-0.0171689245479004,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/ERYPRO-full-run-all-sources-V2.html,7264,2087,all sources,(N = 7264),Propertius Duskywing,ERYPRO: Propertius Duskywing
ERYTRI,0.7768,0.0652299467065285,0.0659514524849672,0.0655377866609333,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/ERYTRI-full-run-all-sources-V2.html,6442,2079,all sources,(N = 6442),Mournful Duskywing,ERYTRI: Mournful Duskywing
EUCAUS,0.9611,-0.110913222179415,-0.1104157947231,-0.111537423608161,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/EUCAUS-full-run-all-sources-V2.html,12529,3820,all sources,(N = 12529),Large Marble,EUCAUS: Large Marble
EUCHYA,0.6538,0.0602870573397584,0.0606757296511251,0.0604497728975586,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/EUCHYA-full-run-all-sources-V2.html,14209,3875,all sources,(N = 14209),California Marble,EUCHYA: California Marble
EUCOLY,0.9967,-0.0177794136934913,-0.0171548614801877,-0.0183357616733048,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/EUCOLY-full-run-all-sources-V2.html,70865,3932,all sources,(N = 70865),NA,EUCOLY: NA
EUPBAT,0.9428,7.4632153435062e-4,0.00134127530003703,-0.00135218394237691,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/EUPBAT-full-run-all-sources-V2.html,11879,5010,all sources,(N = 11879),Western Square-dotted Blue,EUPBAT: Western Square-dotted Blue
EUPENO,0.893,0.00312832716100298,0.00400367453748185,0.00226994346032587,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/EUPENO-full-run-all-sources-V2.html,12043,4971,all sources,(N = 12043),Pacific Dotted-Blue,EUPENO: Pacific Dotted-Blue
EUPHCHA,0.9353,-0.0476619566337215,-0.0470647419522496,-0.0476899151476268,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/EUPHCHA-full-run-all-sources-V2.html,14950,210,all sources,(N = 14950),Anicia/Colon/Chalcedon Checkerspot,EUPHCHA: Anicia/Colon/Chalcedon Checkerspot
EUPHEDI,0.4027,-0.0137935559024791,-0.0131469182913655,-0.0148492088105175,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/EUPHEDI-full-run-all-sources-V2.html,12905,254,all sources,(N = 12905),Edith's Checkerspot,EUPHEDI: Edith's Checkerspot
EUPHPHA,0.9192,-0.0510841899425546,-0.0496482552136346,-0.0510642423427648,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/EUPHPHA-full-run-all-sources-V2.html,72405,297,all sources,(N = 72405),Baltimore Checkerspot,EUPHPHA: Baltimore Checkerspot
EUPTCLA,0.5165,0.014355995493196,0.0147588936957073,0.0146873476249973,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/EUPTCLA-full-run-all-sources-V2.html,82902,40,all sources,(N = 82902),Variegated Fritillary,EUPTCLA: Variegated Fritillary
EUPYBIM,0.9989,-0.0192923118560531,-0.0178847438542249,-0.0212654258568834,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/EUPYBIM-full-run-all-sources-V2.html,74506,2156,all sources,(N = 74506),NA,EUPYBIM: NA
EUPYCON,0.9493,-0.0424968764054862,-0.0421488965714005,-0.0426743818306602,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/EUPYCON-full-run-all-sources-V2.html,69064,2088,all sources,(N = 69064),Black Dash,EUPYCON: Black Dash
EUPYDIO,0.4673,0.0229774568580438,0.0242087391627796,0.0237581339843124,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/EUPYDIO-full-run-all-sources-V2.html,73382,2078,all sources,(N = 73382),Dion Skipper,EUPYDIO: Dion Skipper
EUPYDUK,0.8511,0.0419297110059914,0.0429485760002994,0.0422284831423499,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/EUPYDUK-full-run-all-sources-V2.html,28484,2196,all sources,(N = 28484),NA,EUPYDUK: NA
EUPYVES,0.8597,0.00121083570075907,0.00269216600963329,0.00137943187885629,G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-all-sources-V2/EUPYVES-full-run-all-sources-V2.html,84490,1640,all sources,(N = 84490),Dun Skipper,EUPYVES: Dun Skipper
