"code","abund.correlation","species.trend","trend.at.highest.predictions","trend.at.best.nfj.data","filename","n.data"
"CALLIRU",NA,-0.0116821638768006,-0.0111799606627452,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/CALLIRU-full-run-only-MASSBfly-V1.html",3610
"CALLNIP",NA,0.0197790065683404,0.0202242848638794,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/CALLNIP-full-run-only-MASSBfly-V1.html",3610
"CELLAD",NA,-0.0264402543829868,-0.0260705882838801,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/CELLAD-full-run-only-MASSBfly-V1.html",3570
"CERPEG",NA,-0.0435220847498864,-0.042970841691826,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/CERPEG-full-run-only-MASSBfly-V1.html",3614
"CHLOHAR",NA,-0.0935319238478103,-0.0928688293001585,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/CHLOHAR-full-run-only-MASSBfly-V1.html",3421
"COETUL",NA,-0.0461038817081134,-0.0458171229867514,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/COETUL-full-run-only-MASSBfly-V1.html",3616
"COLEU2",NA,-0.0337888106906272,-0.0333518173422283,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/COLEU2-full-run-only-MASSBfly-V1.html",3612
"COLPHI",NA,-0.0345741935655153,-0.0339879727089709,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/COLPHI-full-run-only-MASSBfly-V1.html",3620
"DANPLE",NA,0.00351243385957416,0.00412015341333571,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/DANPLE-full-run-only-MASSBfly-V1.html",3637
"ENOANT",NA,-0.0195550160874339,-0.0186966439825831,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/ENOANT-full-run-only-MASSBfly-V1.html",3550
"EPACLA",NA,-0.0185380990796243,-0.0181401570514972,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/EPACLA-full-run-only-MASSBfly-V1.html",3618
"ERYBAP",NA,-0.0109415607707092,-0.0103857688201917,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/ERYBAP-full-run-only-MASSBfly-V1.html",3562
"ERYHOR",NA,0.036427126425738,0.0370500885324703,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/ERYHOR-full-run-only-MASSBfly-V1.html",3537
"ERYICE",NA,-0.0906563406766115,-0.0902499954122214,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/ERYICE-full-run-only-MASSBfly-V1.html",3553
"ERYJUV",NA,-0.0344749213177395,-0.0339859372221506,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/ERYJUV-full-run-only-MASSBfly-V1.html",3585
"EUPHPHA",NA,NA,-0.0448889479587073,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/EUPHPHA-full-run-only-MASSBfly-V1.html",3611
"EUPTCLA",NA,-0.0829838184016628,-0.082282187697217,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/EUPTCLA-full-run-only-MASSBfly-V1.html",3613
"EUPYCON",NA,-0.026603795133926,-0.0256351513991433,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/EUPYCON-full-run-only-MASSBfly-V1.html",3571
"EUPYVES",NA,-0.0163226499254081,-0.0157810317956333,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/EUPYVES-full-run-only-MASSBfly-V1.html",3585
"EVECOM",NA,-0.00204643635205947,-0.0016621304181943,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/EVECOM-full-run-only-MASSBfly-V1.html",3620
"FENTAR",NA,-0.0100374209630463,-0.00955606791262298,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/FENTAR-full-run-only-MASSBfly-V1.html",3611
"GLALYG",NA,-0.00178463201751458,-0.00132386532881767,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/GLALYG-full-run-only-MASSBfly-V1.html",3551
"HESLEO",NA,-0.0284618315419557,-0.0279319951564521,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/HESLEO-full-run-only-MASSBfly-V1.html",3569
"HESMET",NA,-0.0818924087884546,-0.0813466918245069,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/HESMET-full-run-only-MASSBfly-V1.html",3568
"HESSAS",NA,-0.0491758430400159,-0.0488203624357797,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/HESSAS-full-run-only-MASSBfly-V1.html",3569
"HYLPHY",NA,0.097688561627601,0.0981884997003135,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/HYLPHY-full-run-only-MASSBfly-V1.html",3511
"LIMARC",NA,-0.0188862062958372,-0.0186802137911017,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/LIMARC-full-run-only-MASSBfly-V1.html",3620
"LIMART",NA,-0.00828617520536787,-0.00737208190612648,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/LIMART-full-run-only-MASSBfly-V1.html",3792
"LYCAEPI",NA,NA,-0.132707788025868,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/LYCAEPI-full-run-only-MASSBfly-V1.html",3611
"LYCAPHL",NA,-0.0274115249470228,-0.0267540463981275,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/LYCAPHL-full-run-only-MASSBfly-V1.html",3620
"MEGICYM",NA,-0.0338318505939179,-0.0333477510030538,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/MEGICYM-full-run-only-MASSBfly-V1.html",3614
"NYMANT",NA,-0.030907370376036,-0.0300001944776724,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/NYMANT-full-run-only-MASSBfly-V1.html",3614
"NYMMIL",NA,-0.11186476010445,-0.111359669084123,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/NYMMIL-full-run-only-MASSBfly-V1.html",3550
"PAPCAN",NA,0.0123867525684697,0.0130249816021238,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/PAPCAN-full-run-only-MASSBfly-V1.html",2349
"PAPCRE",NA,0.24006734726245,0.240903011938144,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/PAPCRE-full-run-only-MASSBfly-V1.html",2656
"PAPGLA",NA,0.00361810002363328,0.00439543213171589,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/PAPGLA-full-run-only-MASSBfly-V1.html",2741
"PAPPOL",NA,0.0101878764681844,0.0107332165259428,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/PAPPOL-full-run-only-MASSBfly-V1.html",2979
"PAPTRO",NA,-0.00536571685945947,-0.0051582794905369,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/PAPTRO-full-run-only-MASSBfly-V1.html",2992
"PHOLCAT",NA,-0.0395929681630445,-0.0388139606886666,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/PHOLCAT-full-run-only-MASSBfly-V1.html",3613
"PHYTHA",NA,-0.015177252241046,-0.0149395236970342,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/PHYTHA-full-run-only-MASSBfly-V1.html",3626
"PIERAP",NA,-0.0103796000790725,-0.0100449932583015,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/PIERAP-full-run-only-MASSBfly-V1.html",3635
"POAHOB",NA,-0.046156462149995,-0.0456610856906323,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/POAHOB-full-run-only-MASSBfly-V1.html",3575
"POAMAS",NA,0.00275261551895486,0.00371249707999421,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/POAMAS-full-run-only-MASSBfly-V1.html",3571
"POAVIA",NA,0.00812479279079457,0.00883324089826942,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/POAVIA-full-run-only-MASSBfly-V1.html",3575
"POAZAB",NA,0.139086389961194,0.139354402395838,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/POAZAB-full-run-only-MASSBfly-V1.html",3571
"POLIMYS",NA,-0.0419552678589673,-0.0410203811257475,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/POLIMYS-full-run-only-MASSBfly-V1.html",3572
"POLIORI",NA,-0.0444567956444218,-0.0439444297485261,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/POLIORI-full-run-only-MASSBfly-V1.html",3577
"POLIPEC",NA,-0.00453976646714156,-0.00383177269159152,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/POLIPEC-full-run-only-MASSBfly-V1.html",3600
"POLITHE",NA,-0.00620917368373875,-0.00544008906159377,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/POLITHE-full-run-only-MASSBfly-V1.html",3592
"POLYCOM",NA,0.0151550903551776,0.0158866454518609,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/POLYCOM-full-run-only-MASSBfly-V1.html",3588
"POLYINT",NA,0.0116992849438328,0.0123684490780249,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/POLYINT-full-run-only-MASSBfly-V1.html",3585
"POMVER",NA,-0.006361610686024,-0.0053513128301006,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/POMVER-full-run-only-MASSBfly-V1.html",3584
"SATACA",NA,-0.14030313052625,-0.139907977054179,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/SATACA-full-run-only-MASSBfly-V1.html",3583
"SATCA1",NA,-0.0248673989903468,-0.0243354712180289,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/SATCA1-full-run-only-MASSBfly-V1.html",3591
"SATEDW",NA,-0.0800862998224019,-0.0795644653370573,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/SATEDW-full-run-only-MASSBfly-V1.html",3590
"SATLIP",NA,-0.0510819352301244,-0.0507875545985184,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/SATLIP-full-run-only-MASSBfly-V1.html",3592
"SATTIT",NA,-0.0665719993597754,-0.0658973717101625,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/SATTIT-full-run-only-MASSBfly-V1.html",3586
"SATYAPP",NA,0.0191989550757779,0.020025653408382,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/SATYAPP-full-run-only-MASSBfly-V1.html",3606
"SATYEUR",NA,-0.0556474610466657,-0.054706976000702,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/SATYEUR-full-run-only-MASSBfly-V1.html",3602
"SPEYAPH",NA,-0.0792995207954375,-0.0784754293423475,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/SPEYAPH-full-run-only-MASSBfly-V1.html",3586
"SPEYATL",NA,-0.0835057333606489,-0.0831237381611487,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/SPEYATL-full-run-only-MASSBfly-V1.html",3516
"SPEYCYB",NA,-0.0227790513628543,-0.022201226709921,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/SPEYCYB-full-run-only-MASSBfly-V1.html",3607
"STRMEL",NA,0.046965435418837,0.047554234794507,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/STRMEL-full-run-only-MASSBfly-V1.html",3612
"THOBAT",NA,-0.0351219676446997,-0.034704014883943,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/THOBAT-full-run-only-MASSBfly-V1.html",3608
"THOPYL",NA,-0.0405266591580859,-0.040348402210642,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/THOPYL-full-run-only-MASSBfly-V1.html",3610
"THYLIN",NA,-0.200385662028354,-0.199536070448119,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/THYLIN-full-run-only-MASSBfly-V1.html",3576
"VANATA",NA,0.0297046463876806,0.0305888110432191,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/VANATA-full-run-only-MASSBfly-V1.html",3601
"VANCAR",NA,0.0987019766133295,0.0992220936085673,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/VANCAR-full-run-only-MASSBfly-V1.html",3600
"WALEGE",NA,-0.0292070065631798,-0.0289135780433441,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-MASSBfly-V1/WALEGE-full-run-only-MASSBfly-V1.html",3576
