code,abund.correlation,species.trend,nfjonly.abund.correlation,nfjonly.species.trend,error,abserror,common,sci.name
NYMCAL,0.0379,0.00602516257268496,0.1236,0.0496448386418567,0.04361967606917174,0.04361967606917174,California Tortoiseshell,Nymphalis californica
SPEYIDA,0.0034,0.0680886599940523,0.143,0.0245787570110633,-0.043509902982989,0.043509902982989,Regal Fritillary,Speyeria idalia
THOMEX,0.7988,-0.0579751704445315,0.9224,-0.101051416476346,-0.043076246031814494,0.043076246031814494,Mexican Cloudywing,Thorybes mexicanus | Thorybes mexicana nevada
THYLIN,0.0288,-0.112911657037204,0.3867,-0.0702644568539681,0.04264720018323591,0.04264720018323591,European Skipper,Thymelicus lineola
LIBCAR,0.0396,0.0133034490507382,0.2076,0.0550956551886307,0.0417922061378925,0.0417922061378925,American Snout,Libytheana carienta | Libytheana carinenta
SATTET,0.4859,-0.064836895027976,0.7863,-0.0235703791558862,0.04126651587208981,0.04126651587208981,Mountain Mahogany Hairstreak,Satyrium tetra
CHLOGOR,0.318,-0.0905945501783805,0.5202,-0.0499886403759647,0.0406059098024158,0.0406059098024158,Gorgone Checkerspot,Chlosyne gorgone
CALBOR,0.1331,0.00873231600890827,0.7902,0.04724426546068,0.038511949451771735,0.038511949451771735,NA,Calephelis borealis
POLITHE,0.0249,-0.0336417798243299,0.1489,0.0042421508665596,0.0378839306908895,0.0378839306908895,Tawny-edged Skipper,Polites themistocles
SATSYL,0.2013,-0.00818446792978716,0.2195,-0.0453975152391003,-0.037213047309313144,0.037213047309313144,Sylvan Hairstreak,Satyrium sylvinus
ERYICE,0.2713,-0.072569705406047,0.1165,-0.0357980477415226,0.0367716576645244,0.0367716576645244,Dreamy Duskywing,Erynnis icelus
NATIOL,0.349,0.0735982752666664,0.3948,0.0371246279155079,-0.0364736473511585,0.0364736473511585,Dainty Sulphur,Nathalis iole
LYCAEDI,0.9159,0.0473282226857643,0.955,0.0115841729969771,-0.0357440496887872,0.0357440496887872,Edith's Copper,Lycaena editha
HYLPHY,0.9341,0.0166149264088081,0.9416,-0.0190444585805479,-0.035659384989356,0.035659384989356,Fiery Skipper,Hylephila phyleus
CHLONYC,0.3357,0.0204893580646095,0.4105,-0.0145921244457421,-0.0350814825103516,0.0350814825103516,Silvery Checkerspot,Chlosyne nycteis
EUPHEDI,0.3377,-0.00863572278237088,0.2618,-0.0427262730542943,-0.03409055027192342,0.03409055027192342,Edith's Checkerspot,Euphydryas editha | Euphydryas editha taylori
CALLHEN,0.73,0.0629232254840403,0.6358,0.0958416293887654,0.03291840390472511,0.03291840390472511,Henry's Elfin,Callophrys henrici
PYRALB,0.3624,0.012005199932538,0.0414,0.0448146147381249,0.0328094148055869,0.0328094148055869,White Checkered-Skipper,Pyrgus albescens
ANATLOG,0.3406,-0.0369620383745853,0.468,-0.00465854999737102,0.032303488377214286,0.032303488377214286,Delaware Skipper,Atrytone logan | Anatrytone logan
CHLOHAR,0.4401,-0.0666612523859444,0.5878,-0.0350805011189945,0.031580751266949904,0.031580751266949904,Harris' Checkerspot,Chlosyne harrisii
PYRSCR,0.8793,-0.0540163750964954,0.7819,-0.0232973601893572,0.0307190149071382,0.0307190149071382,Small Checkered-Skipper,Pyrgus scriptura
LYCACUP,0.9539,-0.0154643590827231,0.9433,-0.0446237519717425,-0.029159392889019402,0.029159392889019402,Lustrous Copper,Lycaena cupreus | Lycaena cupreus snowi
POAVIA,0.2812,0.0321419946144059,0.4525,0.00323870001153083,-0.028903294602875072,0.028903294602875072,Broad-winged Skipper,Poanes viator
AGRAVAN,0.0094,0.0426329972771228,0.1889,0.0143538838986147,-0.0282791133785081,0.0282791133785081,Gulf Fritillary,Agraulis vanillae
FENTAR,0.3938,0.0307485722845833,0.4969,0.00261315927798863,-0.02813541300659467,0.02813541300659467,Harvester,Feniseca tarquinius
COETUL,0.0266,-0.00832167540414651,0.5387,0.0182543696786219,0.02657604508276841,0.02657604508276841,Common Ringlet,Coenonympha tullia | Coenonympha tullia inornata | Coenonympha tullia nipisiquit | Coenonympha tullia ochracea | Coenonympha tullia ampelos | Coenonympha tullia california
HESJUB,0.2583,0.0348089890568634,0.4639,0.00844038572449149,-0.026368603332371912,0.026368603332371912,Juba Skipper,Hesperia juba
PARNPHO,0.3668,0.0356565929279257,0.8524,0.00932247198356912,-0.02633412094435658,0.02633412094435658,Rocky Mountain Parnassian,Parnassius smintheus | Parnassius phoebus behrii | Parnassius phoebus | Parnassius phoebus phoebus | Parnassius phoebus smintheus | Parnassius phoebus behri
BOLOEPI,0.1693,0.0143545467214993,0.1639,-0.0119257303696009,-0.0262802770911002,0.0262802770911002,Pacific Fritillary,Boloria epithore
SATCA2,0.4735,0.0154536189298117,0.6766,-0.0107018967860354,-0.0261555157158471,0.0261555157158471,California Hairstreak,Satyrium californica
SPEYMOR,0.2456,0.012499244630499,0.2364,-0.0133651480046658,-0.0258643926351648,0.0258643926351648,Mormon Fritillary,Speyeria mormonia | Speyeria mormonia atronia | Speyeria mormonia luski
LYCAXAN,0.1752,-0.0836983053105963,0.9299,-0.0579405158751683,0.025757789435428002,0.025757789435428002,Great Copper,Lycaena xanthoides
LYCAMAR,0.6024,0.0525988880200023,0.4648,0.0270752616424024,-0.025523626377599903,0.025523626377599903,Mariposa Copper,Lycaena mariposa
CYLGEM,0.2901,0.039547057346499,0.4409,0.0142789856916175,-0.0252680716548815,0.0252680716548815,Gemmed Satyr,Cyllopsis gemma
VANCAR,0.1181,-0.032244540868629,0.099,-0.00706046826738253,0.025184072601246468,0.025184072601246468,Painted Lady,Vanessa cardui
ATRARO,0.105,-0.0393884175087903,0.1682,-0.0645153144119398,-0.02512689690314951,0.02512689690314951,NA,Atrytone arogos
APOMOR,0.8069,-8.93564035877652e-5,0.8049,-0.0250310363505813,-0.024941679946993534,0.024941679946993534,Mormon Metalmark,Apodemia virgulti | Aphodemia virgulti | Apodemia mormo | Apodemia mormo virgulti | Apodemia mormo mejicanus | Apodemia mormo duryi | Apodemia mormo langei
OCHSYL,0.22,0.00554365920696717,0.2842,-0.0193043718705631,-0.024848031077530273,0.024848031077530273,Woodland Skipper,Ocholdes sylvanoides | Ochlodes sylvanoides
LIMLOR,0.4307,0.0327547843186173,0.5944,0.00799160500350217,-0.02476317931511513,0.02476317931511513,Lorquin's Admiral,Limenitis lorquini
DANPLE,0.2654,-0.00959491014979092,0.3122,0.0143013709759986,0.02389628112578952,0.02389628112578952,Monarch,Danaus plexippus
LYCAPHL,0.0165,-0.0581882096185272,0.5654,-0.0350904007269083,0.0230978088916189,0.0230978088916189,American Copper,Lycaena phlaeas
POLIMYS,0.4031,-0.0372062557574884,0.6693,-0.0141547325731422,0.0230515231843462,0.0230515231843462,Long Dash,Polites mystic
SATACA,0.2074,-0.0833718478704893,0.3798,-0.0606001218107042,0.022771726059785106,0.022771726059785106,Acadian Hairstreak,Satyrium acadicum | Satyrium acadica
PHYPIC,0.8561,-0.0286203258330783,0.8625,-0.051360848662301103,-0.022740522829222804,0.022740522829222804,NA,Phyciodes picta
LYCADOR,0.9556,-0.0818584438591115,0.951,-0.060057835978797,0.021800607880314495,0.021800607880314495,NA,Lycaena dorcas | Lycaena dorcas claytoni | Lycaena dorcas dospassosi
SPEYZER,0.9001,0.00696262708018097,-0.0361,-0.0147856739574114,-0.02174830103759237,0.02174830103759237,Zerene Fritillary,Speyeria zerene | Speyeria zerene carolae | Speryeria zerene hippolyta
PROBYS,0.2145,0.00117499412171658,0.1216,-0.0202209940128772,-0.02139598813459378,0.02139598813459378,NA,Problema byssus
HABGRU,0.7308,-0.108002982267966,0.8668,-0.086882616409473,0.021120365858492987,0.021120365858492987,Golden Hairstreak,Habrodais grunus
EUPENO,0.0266,0.0328418348927258,-0.0214,0.0121618591647562,-0.020679975727969604,0.020679975727969604,Pacific Dotted-Blue,Euphilotes ancilla | Euphilotes enoptes enoptes | Euphilotes enoptes | Euphilotes enoptes mojave | Euphilotes enoptes dammersi | Euphilotes enoptes ancilla
POLIPEC,0.3181,-0.00921254167163767,0.3322,0.011375846302646,0.02058838797428367,0.02058838797428367,Peck's Skipper,Polites peckius
SATSAE,0.2509,-0.0409799618449517,0.7595,-0.0209401303435427,0.020039831501409002,0.020039831501409002,Hedgerow Hairstreak,Satyrium saepium
ATACAM,0.2593,-3.1021087524425e-4,0.5287,-0.0193826939843823,-0.01907248310913805,0.01907248310913805,Sachem skipper,Atalopedes campestris
LYCMEL,0.196,0.0223609528209771,0.1942,0.0412595118780736,0.0188985590570965,0.0188985590570965,Melissa/Karner Blue,Plebejus melissa | Lycaeides melissa | Lycaeides melissa melissa
ACHLYC,0.5092,-0.0192821437935997,0.4952,-0.0376301641170122,-0.018348020323412498,0.018348020323412498,Hoary Edge,Achalarus lyciades
OCHAGR,0.6738,0.00107143289556096,0.7591,0.0193335041539762,0.018262071258415242,0.018262071258415242,Rural Skipper,Ochlodes agricola
EPACLA,0.4161,0.0200874363291977,0.6322,0.00189579465400698,-0.01819164167519072,0.01819164167519072,Silver-spotted Skipper,Epargyreus clarus
PAPGLA,0.4257,-0.00292751125365802,0.5469,0.0151745510744217,0.018102062328079718,0.018102062328079718,Eastern Tiger Swallowtail,Pterourus appalachiensis | Papilio glaucus
BOLOBEL,0.0222,-0.00219828178476415,0.0745,-0.0197127596569276,-0.01751447787216345,0.01751447787216345,Meadow Fritillary,Boloria bellona
BREEXI,-0.0467,-0.0369907373629009,0.1594,-0.0197398575374359,0.017250879825465,0.017250879825465,???,Brephidium exile
PHOLCAT,0.2744,-0.0339994202346231,0.2345,-0.0170952982515669,0.0169041219830562,0.0169041219830562,Common Sootywing,Pholisora catullus
CALLGRY,0.5263,0.0137595612802164,0.73740000000000006,-0.00279442514488405,-0.01655398642510045,0.01655398642510045,Juniper Hairstreak,Callophrys gryneus | Callophrys gryneus gryneus | Callophrys gryneus sweadneri | Callophrys gryneus siva | Callophrys gryneus nelsoni | Callophrys gryneus muiri | Callophrys gryneus loki | Callophrys gryneus thornei | Mitoura gryneus chalcosiva | Mitoura gryneus nelsoni
PHOESEN,-0.0132,0.0267200933908569,0.1014,0.0432192954635975,0.0164992020727406,0.0164992020727406,Cloudless Sulphur,Phoebis sennae
SATAUR,0.8152,-0.0048034187854898,0.8656,-0.0212824619187863,-0.016479043133296498,0.016479043133296498,Gold-hunter's Hairstreak,Satyrium auretorum
EVECOM,0.4353,0.00495776576480235,0.737,0.0212573181746321,0.016299552409829752,0.016299552409829752,Eastern Tailed-Blue,Cupido comyntas | Everes comyntas
HESSAS,0.2533,-0.0100014037961562,0.4566,-0.025965924040862,-0.0159645202447058,0.0159645202447058,Indian Skipper,Hesperia sassacus
LYCADIO,0.4077,-0.0400634897365638,0.2225,-0.0242877876841375,0.0157757020524263,0.0157757020524263,NA,Lycaena dione
PONOCC,0.5396,-0.0221065643734519,0.818,-0.0376441246159179,-0.015537560242466001,0.015537560242466001,Western White,Pontia occidentalis
SATYAPP,0.5146,0.00275776497606439,0.6712,0.018160451947266,0.01540268697120161,0.01540268697120161,Appalachian Brown,Satyrodes appalachia
PAPEUR,0.329,-0.00853661531235512,0.3757,0.00686031713327256,0.01539693244562768,0.01539693244562768,Pale Swallowtail,Papilio eurymedon
COLPHI,0.1812,0.00242905857407462,0.253,-0.012948226773595,-0.01537728534766962,0.01537728534766962,Clouded Sulphur,Colias philodice | Colias philodice (eriphyle)
PAPRUT,0.4326,0.012706306377746,0.5374,-0.00263897257580587,-0.01534527895355187,0.01534527895355187,Western Tiger Swallowtail,Papilio rutulus
ASTCLY,0.6598,-0.0140471749606621,0.1754,0.00119627861134039,0.01524345357200249,0.01524345357200249,Tawny Emperor,Asterocampa clyton
PAPCRE,0.7428,0.0552861127835572,0.6673,0.0400638027470088,-0.015222310036548399,0.015222310036548399,Western/Giant Swallowtail,Papilio rumiko | Papilio cresphontes
POAHOB,0.2723,-0.0479738554511095,0.3996,-0.0327751460975972,0.0151987093535123,0.0151987093535123,Hobomok Skipper,Poanes hobomok
SATEDW,0.0228,-0.0306485731830234,0.1914,-0.045344852031936,-0.0146962788489126,0.0146962788489126,Edwards' Hairstreak,Satyrium edwardsii
ERYPRO,-0.0807,0.0101607290680342,0.7762,0.0242626241350875,0.0141018950670533,0.0141018950670533,Propertius Duskywing,Erynnis propertius
OARGAR,0.4833,-0.0403874786848906,0.4795,-0.0264160009267178,0.013971477758172798,0.013971477758172798,NA,Oarisma garita
PIRPIR,0.9559,-0.00722795617350972,0.7208,-0.0211554158098679,-0.013927459636358178,0.013927459636358178,NA,Piruna pirus
ENOANT,0.36870000000000003,-0.00820766771481554,0.6348,0.00560380014557735,0.01381146786039289,0.01381146786039289,Northern Pearly-eye,Enodia anthedon
SPEYEDW,0.5762,0.0323480687150679,0.7134,0.0185796468470805,-0.0137684218679874,0.0137684218679874,NA,Speyeria edwardsii
EUPBAT,0.254,0.0180359882479292,0.7898,0.00434501125888271,-0.013690976989046491,0.013690976989046491,Western Square-dotted Blue,Euphilotes bernardino | Euphilotes battoides | Euphilotes battoides allyni | Euphilotes battoides bernardino | Euphilotes battoides intermedia | Euphilotes battoides baueri | Euphilotes battoides centralis | Euphilotes battoides ellisi
PIENAP,0.0399,-0.00385189372790911,0.4241,-0.0175395079037966,-0.01368761417588749,0.01368761417588749,Margined White,Pieris marginalis | Pieris  napi | Pieris napi | Pieris napi oleracea | Pieris napi marginalis
NYMMIL,-0.0021,-0.0680198814875616,-0.0036,-0.0543814061126861,0.01363847537487551,0.01363847537487551,Milbert's Tortoiseshell,Aglais milberti | Nymphalis milbertii | Nymphalis milberti
EURYMAR,0.2567,0.0390990654840793,0.2229,0.0256259136165262,-0.013473151867553101,0.013473151867553101,Zebra Swallowtail,Eurytides marcellus
PLESAE,-0.0173,-0.0275855702829193,-0.0203,-0.0145039669242972,0.0130816033586221,0.0130816033586221,Greenish Blue,Plebejus saepiolus
CALYCEC,0.3819,0.0282768451585989,0.4039,0.0152840133468849,-0.012992831811714,0.012992831811714,Red-banded Hairstreak,Calycopis cecrops
SPEYHYD,0.2227,0.0226661895598114,0.0198,0.00970303690089393,-0.012963152658917468,0.012963152658917468,Hydaspe Fritillary,Speyeria hydaspe
PAPTRO,-0.0149,0.0199312945283651,0.4481,0.00699952411855218,-0.01293177040981292,0.01293177040981292,Spicebush Swallowtail,Papilio troilus
LEROEUF,0.0443,-0.0115804263937606,0.5271,-0.0243983032073377,-0.012817876813577099,0.012817876813577099,Eufala Skipper,Lerodea eufala
PLEICA,0.0096,0.0115484560904711,0.6148,-0.00123186645180574,-0.01278032254227684,0.01278032254227684,Boisduval's Blue,Plebejus icarioides | Plebejus icarioides missionensis | Icaricia icarioides fenderi | Icaricia icarioides missionensis | Plebejus icarioides fenderi
LIMWEI,0.2513,0.00932037180630275,0.1859,-0.0029550739094839,-0.01227544571578665,0.01227544571578665,Weidemeyer's Admiral,Limenitis weidemeyerii
SATCA3,0.8994,-0.0341153401756815,0.5159,-0.0219526973186296,0.0121626428570519,0.0121626428570519,Hickory Hairstreak,Satyrium caryaevorum
CERSTH,0.0102,-0.0568564611797712,0.0066,-0.0689017414520459,-0.012045280272274701,0.012045280272274701,Great Basin Wood-Nymph,Cercyonis sthenele silvestris | Cercyonis sthenele
EREEPI,0.2206,-0.00152481496064398,0.7986,-0.0131725048841431,-0.01164768992349912,0.01164768992349912,Common Alpine,Erebia epipsodea
ERYPAC,0.7446,0.0172070457057408,0.4192,0.0287390852546589,0.0115320395489181,0.0115320395489181,Pacuvius Duskywing,Erynnis pacuvius
AGRGLA,0.412,-0.023772902072309,0.2741,-0.0122788384749699,0.0114940635973391,0.0114940635973391,Arctic Blue,Plebejus glandon | Agriades glandon | Agriades glandon glandon | Agriades glandon franklinii | Agriades glandon podarce | Agriades podarce
LIMART,0.999,-0.0239882641934357,0.9987,-0.0354724552260693,-0.011484191032633602,0.011484191032633602,Red-spotted Purple/White Admiral,L. a. arthemis | Limenitis arthemis
ANAAND,0.4931,0.0102084332807923,0.5323,-0.001266925837624,-0.0114753591184163,0.0114753591184163,Goatweed Leafwing,Anaea andria
POLYPRO,0.5598,0.0216807092446563,0.6562,0.0329625669764338,0.011281857731777499,0.011281857731777499,Gray Comma,Polygonia progne
HESOTT,0.1776,-0.0404699935302173,0.3871,-0.0510329618378462,-0.010562968307628894,0.010562968307628894,NA,Hesperia ottoe
POLYGRA,0.1705,-0.033835639327325,0.0561,-0.0442203999912882,-0.010384760663963197,0.010384760663963197,Hoary Comma,Polygonia gracilis | Polygonia gracilis zephyrus
NASLHE,0.3765,0.0048011538788917,0.3392,-0.00553990813631467,-0.010341062015206369,0.010341062015206369,Swarthy Skipper,Nastra lherminier
NYMANT,0.104,-0.0199402168206846,0.1309,-0.0302676731895494,-0.010327456368864799,0.010327456368864799,Mourning Cloak,Nymphalis antiopa
EURMEX,0.7227,-0.0180821562026822,0.7276,-0.00792355714033835,0.01015859906234385,0.01015859906234385,NA,Eurema mexicana
SPEYATL,-0.0182,-0.0360600670813503,0.2127,-0.026059332630325,0.010000734451025301,0.010000734451025301,Atlantis/Northwestern Fritillary,Speyeria hesperis | Speyeria atlantis | Speyeria atlantis atlantis | Speyeria atlantis hesperis | Speyeria atlantis nausicaa | Speyeria atlantis irene
ADEBRE,0.3947,-0.00982865083420004,0.5332,6.9339204036808e-5,0.009897990038236848,0.009897990038236848,Bredow's Sister,Adelpha bredowii | Adelpha bredowii californica
PHYTHA,0.4259,0.00204755786739205,0.4289,-0.00765541800903203,-0.00970297587642408,0.00970297587642408,Pearl Crescent,Phyciodes tharos
CARTPAL,0.4102,0.0287630889940324,0.413,0.0383374454195685,0.009574356425536102,0.009574356425536102,Arctic Skipper,Carterocephalus palaemon
SPEYCYB,0.5548,-0.0132586465239065,0.6901,-0.00378976712797709,0.00946887939592941,0.00946887939592941,Great Spangled Fritillary,Speyeria cybele | Speyeria cybele leto
DANGIL,0.8721,0.0320963332374661,0.8231,0.0228199504142688,-0.009276382823197302,0.009276382823197302,Queen,Danaus gilippus
STAPHAY,0.2095,-0.00326573646111996,0.2105,-0.0124959831714315,-0.00923024671031154,0.00923024671031154,Hayhurst's Scallopwing,Staphylus hayhurstii
COLEU1,0.9964,0.00793261505222004,0.9976,0.017131525638166,0.009198910585945961,0.009198910585945961,California Dogface,Colias eurydice | Zerene eurydice
VANANN,0.5234,-0.0772364065590026,0.5195,-0.0681464635429909,0.009089943016011695,0.009089943016011695,West Coast Lady,Vanessa annabella
POLYINT,0.359,-0.00591888407088172,0.4074,-0.0147990504519758,-0.00888016638109408,0.00888016638109408,Question Mark,Polygonia interrogationis
VANATA,0.379,-0.00405815902426351,0.3842,-0.0129197033459108,-0.00886154432164729,0.00886154432164729,Red Admiral,Vanessa atalanta
SATFAV,0.0995,-0.0170908648834096,0.1098,-0.0258943351006931,-0.008803470217283501,0.008803470217283501,NA,Fixsenia favonius | Satyrium favonius | Satyrium favonius favonius | Satyrium favonius ontario
LEPMAR,0.1048,-0.026738316275286,0.2315,-0.0353719135921165,-0.0086335973168305,0.0086335973168305,Marine Blue,Leptotes marina
HERSOS,0.5311,0.0374653044974174,0.6667,0.0289243847108685,-0.008540919786548896,0.008540919786548896,Carolina Satyr,Hermeuptychia sosybius
CALNEM,0.9619,0.0554319188722172,0.9686,0.0639616315141405,0.008529712641923301,0.008529712641923301,NA,Calephelis nemesis
ERYBAP,0.4756,0.0378866042986727,0.4664,0.029651797852719,-0.008234806445953702,0.008234806445953702,Wild Indigo Duskywing,Erynnis baptisiae
ERYHOR,0.4205,0.0332332146532981,0.5105,0.0251140221215744,-0.0081191925317237,0.0081191925317237,Horace's Duskywing,Erynnis horatius
EURLIS,0.0242,0.0422837116777395,0.1794,0.0345225353648384,-0.0077611763129010955,0.0077611763129010955,Little Yellow,Pyrisitia lisa | Eurema lisa
COLALE,0.8051,0.0275572072788303,0.7678,0.0202577602772024,-0.0072994470016279,0.0072994470016279,Queen Alexandra's Sulphur,Colias harfordii | Colias alexandra | Colias alexandra harfordii | Colias alexandra krauthii
PAPZEL,0.7467,-0.028693292071617,0.4894,-0.0216323538369108,0.007060938234706198,0.007060938234706198,Anise Swallowtail,Papilio zelicaon
PONPRO,0.369,-0.0890685866098486,0.3901,-0.0960944003447246,-0.007025813734876013,0.007025813734876013,Checkered White,Pontia protidice | Pontia protodice
WALEGE,0.387,-0.00837985864665527,0.6462,-0.00138849355713755,0.00699136508951772,0.00699136508951772,Northern Broken-Dash,Wallengrenia egeremet
