Fit on: 2023-02-25 00:43:44

Parameters:
==================
form.use:
  count ~ te(lat, lon, by = year, k = c(5, 5), bs = c("cr", "cr")) + effort.universal + s(site.refac, bs = "re")

use.inferred:
  TRUE

geography.constrain:
  FALSE

use.only.source:
  NFJ



Correlation summaries:
==================
code	abund.correlation
EURMEX	0.9878
EURNIC	0.7362
EURYMAR	0.2909
EVEAMY	0.9927
EVECOM	0.8564
FENTAR	0.7763
GLALYG	0.9065
GLAPIA	0.8742
HABGRU	0.9425
HELIERI	0.9658
HEMCER	0.849
HEMISO	0.7198
HERSOS	0.9361
HESCOM	0.9784
HESJUB	0.9303
HESLEO	0.9535
HESLIN	0.9938
HESMET	0.5246
HESNEV	0.748
HESOTT	0.3448
HESPAH	0.9088
HESSAS	0.6463
HESVIR	0.9985
HYLPHY	0.9659
JUNCOE	0.7965
LEPMAR	0.8202
LERACC	0.7628
LEROEUF	0.8966
LIBCAR	0.522
LIMARC	0.9707
LIMART	0.9994
LIMLOR	0.9586
LIMWEI	0.785
LYCAARO	0.9991
LYCACUP	0.9814
LYCADIO	0.6661
LYCADOR	0.9343
LYCAEDI	0.9934
LYCAEPI	0.9983
LYCAGOR	0.9779
LYCAHEL	0.9566
LYCAHET	0.8531
LYCAHYL	0.9291
LYCAMAR	0.9399
LYCANIV	0.9883
LYCAPHL	0.905
LYCARUB	0.9839
LYCAXAN	0.998
LYCIDA	0.987
LYCMEL	0.9387
MEGICYM	0.8979
NASLHE	0.8819
NATIOL	0.7004
NEOPMEN	0.9225
NYMANT	0.7435
NYMCAL	0.9503
NYMMIL	0.9093
NYMVAU	0.9911
OARGAR	0.8375
OCHAGR	0.9655
OCHSYL	0.7915
OENCHR	0.7338
OENNEV	0.9383
PANOCO	0.9796
PAPCAN	0.9263
PAPCRE	0.9746
PAPEUR	0.9574
PAPGLA	0.8124
PAPIND	0.8444
PAPMUL	0.9509
PAPPOL	0.8294
PAPRUT	0.9379
PAPTRO	0.9198
PAPZEL	0.9787
PARNCLO	0.9627
PARNPHO	0.9891
PARRMAL	0.8781
PHOEAGA	0.7503
PHOESEN	0.5163
PHOLCAT	0.2527
PHYBAT	0.7829
PHYCAM	0.9026
PHYMYL	0.965
PHYORS	0.9954
PHYPAL	0.3385
PHYPIC	0.9114
PHYSEL	0.9707
PHYTEX	0.9287
PHYTHA	0.7697
PIENAP	0.9702
PIERAP	0.6695
PIEVIR	0.7222
PIRPIR	0.987
PLEACM	0.9656
PLEICA	0.7594
PLELUP	0.9216
PLESAE	0.9129
PLESHA	0.8873
POAHOB	0.9523
POAMAS	0.7994
POAMEL	0.975
POATAX	0.716
POAVIA	0.962
POAZAB	0.889
POLIMYS	0.822
POLIORI	0.872
POLIPEC	0.8832
POLISAB	0.9745
POLISON	0.9087
POLITHE	0.877
POLYCOM	0.5935
POLYFAU	0.9729
POLYGRA	0.9437
POLYINT	0.9994
POLYPRO	0.9741
POLYSAT	0.9939
POMVER	0.9031
PONBEC	0.9718
PONOCC	0.8343
PONPRO	0.9941
PONSIS	0.7932
PROBYS	0.915
PYRALB	0.191
PYRCOM	0.8329
PYRRUR	0.9919
PYRSCR	0.9972
SATACA	0.9117
SATAUR	0.5176
SATBEH	0.9344
SATCA1	0.9479
SATCA2	0.9846
SATCA3	0.8973
SATEDW	0.931
SATFAV	0.8953
SATFUL	0.9655
SATLIP	0.8533
SATSAE	0.9434
SATSYL	0.8126
SATTET	0.6781
SATTIT	0.9216
SATYAPP	0.8146
SATYEUR	0.7041
SPEYAPH	0.9412
SPEYATL	0.8924
SPEYCAL	0.8867
SPEYCOR	0.9688
SPEYCYB	0.92
SPEYEDW	0.9446
SPEYEGL	0.98740000000000006
SPEYHYD	0.9257
SPEYIDA	0.7094
SPEYMOR	0.6173
SPEYZER	0.9753
STAPHAY	0.9551
STRMEL	0.9502
THOBAT	0.9224
THOMEX	0.9415
THOPYL	0.9072
THYLIN	0.9725
URBPR3	0.9861
VANANN	0.9338
VANATA	0.65
VANCAR	0.6246
VANVIR	0.98740000000000006
WALEGE	0.894


 Report files generated:
==================
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/ACHLYC-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/ADEBRE-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/AGRAVAN-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/AGRGLA-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/AMBHEG-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/AMBVIA-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/ANAAND-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/ANATLOG-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/ANCNUM-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/ANTHLAN-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/ANTHMID-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/ANTHSAR-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/APOMOR-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/ASTCEL-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/ASTCLY-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/ATACAM-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/ATLHAL-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/ATRARO-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/ATRYHIA-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/AUTCEL-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/BATPHI-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/BOLOBEL-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/BOLOCHA-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/BOLOEPI-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/BOLOSEL-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/BREEXI-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/BREISO-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/CALBOR-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/CALLAUG-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/CALLDUM-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/CALLERY-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/CALLGRY-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/CALLHEN-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/CALLIRU-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/CALLMOS-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/CALLNIP-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/CALLPOL-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/CALLSHE-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/CALLSPI-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/CALNEM-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/CALYCEC-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/CARTPAL-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/CELLAD-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/CELNEG-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/CEROET-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/CERPEG-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/CERSTH-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/CHLOGOR-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/CHLOHAR-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/CHLOHOF-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/CHLOLAC-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/CHLOLEA-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/CHLONYC-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/CHLOPAL-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/COETUL-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/COLALE-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/COLCES-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/COLEU1-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/COLEU2-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/COLINT-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/COLOCC-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/COLPHI-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/COPAUR-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/CYLGEM-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/DANGIL-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/DANPLE-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/DYMDYM-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/ENOANT-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/ENOCRE-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/ENOPOR-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/EPACLA-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/EREEPI-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/ERYBAP-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/ERYBRI-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/ERYFUN-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/ERYHOR-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/ERYICE-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/ERYJUV-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/ERYMAR-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/ERYPAC-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/ERYPER-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/ERYPRO-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/ERYTRI-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/ERYZAR-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/EUCAUS-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/EUCHYA-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/EUCOLY-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/EUPBAT-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/EUPENO-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/EUPHCHA-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/EUPHEDI-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/EUPHPHA-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/EUPTCLA-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/EUPYBIM-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/EUPYCON-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/EUPYDIO-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/EUPYDUK-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/EUPYVES-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/EURLIS-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/EURMEX-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/EURNIC-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/EURYMAR-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/EVEAMY-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/EVECOM-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/FENTAR-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/GLALYG-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/GLAPIA-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/HABGRU-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/HELIERI-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/HEMCER-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/HEMISO-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/HERSOS-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/HESCOM-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/HESJUB-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/HESLEO-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/HESLIN-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/HESMET-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/HESNEV-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/HESOTT-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/HESPAH-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/HESSAS-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/HESVIR-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/HYLPHY-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/JUNCOE-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/LEPMAR-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/LERACC-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/LEROEUF-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/LIBCAR-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/LIMARC-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/LIMART-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/LIMLOR-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/LIMWEI-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/LYCAARO-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/LYCACUP-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/LYCADIO-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/LYCADOR-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/LYCAEDI-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/LYCAEPI-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/LYCAGOR-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/LYCAHEL-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/LYCAHET-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/LYCAHYL-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/LYCAMAR-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/LYCANIV-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/LYCAPHL-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/LYCARUB-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/LYCAXAN-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/LYCIDA-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/LYCMEL-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/MEGICYM-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/NASLHE-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/NATIOL-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/NEOPMEN-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/NYMANT-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/NYMCAL-full-run-only-NFJ-V2.html
G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V2/NYMMIL-full-run-only-NFJ-V2.html
